Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
Relatos salvajes,2014,R,122,Comedy,8.1,77,Damián Szifron,177059,3107072
Soul,2020,U,100,Animation,8.1,83,Pete Docter,159171,
Kis Uykusu,2014,,196,Drama,8.1,88,Nuri Bilge Ceylan,46547,165520
PK,2014,UA,153,Comedy,8.1,,Rajkumar Hirani,163061,10616104
OMG: Oh My God!,2012,U,125,Comedy,8.1,,Umesh Shukla,51739,923221
The Grand Budapest Hotel,2014,UA,99,Adventure,8.1,88,Wes Anderson,707630,59100318
Gone Girl,2014,A,149,Drama,8.1,79,David Fincher,859695,167767189
Ôkami kodomo no Ame to Yuki,2012,U,117,Animation,8.1,71,Mamoru Hosoda,38803,
Hacksaw Ridge,2016,A,139,Biography,8.1,71,Mel Gibson,435928,67209615
Inside Out,2015,U,95,Animation,8.1,94,Pete Docter,616228,356461711
Barfi!,2012,U,151,Comedy,8.1,,Anurag Basu,75721,2804874
12 Years a Slave,2013,A,134,Biography,8.1,96,Steve McQueen,640533,56671993
Rush,2013,UA,123,Action,8.1,74,Ron Howard,432811,26947624
Ford v Ferrari,2019,UA,152,Action,8.1,81,James Mangold,291289,117624028
Spotlight,2015,A,129,Biography,8.1,93,Tom McCarthy,420316,45055776
Song of the Sea,2014,PG,93,Animation,8.1,85,Tomm Moore,51679,857524
Kahaani,2012,UA,122,Mystery,8.1,,Sujoy Ghosh,57806,1035953
Zindagi Na Milegi Dobara,2011,U,155,Comedy,8.1,,Zoya Akhtar,67927,3108485
Prisoners,2013,A,153,Crime,8.1,70,Denis Villeneuve,601149,61002302
Mad Max: Fury Road,2015,UA,120,Action,8.1,90,George Miller,882316,154058340
A Wednesday,2008,UA,104,Action,8.1,,Neeraj Pandey,73891,
Gran Torino,2008,R,116,Drama,8.1,72,Clint Eastwood,720450,148095302
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130,Adventure,8.1,85,David Yates,764493,381011219
Okuribito,2008,PG-13,130,Drama,8.1,68,Yôjirô Takita,48582,1498210
Hachi: A Dog's Tale,2009,G,93,Biography,8.1,,Lasse Hallström,253575,
Mary and Max,2009,,92,Animation,8.1,,Adam Elliot,164462,
How to Train Your Dragon,2010,U,98,Animation,8.1,75,Dean DeBlois,666773,217581231
Into the Wild,2007,R,148,Adventure,8.1,73,Sean Penn,572921,18354356
No Country for Old Men,2007,R,122,Crime,8.1,91,Ethan Coen,856916,74283625
Lage Raho Munna Bhai,2006,U,144,Comedy,8.1,,Rajkumar Hirani,43137,2217561
Million Dollar Baby,2004,UA,132,Drama,8.1,86,Clint Eastwood,635975,100492203
Hotel Rwanda,2004,PG-13,121,Biography,8.1,79,Terry George,334320,23530892
Taegukgi hwinalrimyeo,2004,R,140,Action,8.1,64,Je-kyu Kang,37820,1111061
Before Sunset,2004,R,80,Drama,8.1,90,Richard Linklater,236311,5820649
Munna Bhai M.B.B.S.,2003,U,156,Comedy,8.1,,Rajkumar Hirani,73992,
Salinui chueok,2003,UA,131,Crime,8.1,82,Bong Joon Ho,139558,14131
Dil Chahta Hai,2001,Unrated,183,Comedy,8.1,,Farhan Akhtar,66803,300000
Kill Bill: Vol. 1,2003,R,111,Action,8.1,69,Quentin Tarantino,1000639,70099045
Finding Nemo,2003,U,100,Animation,8.1,90,Andrew Stanton,949565,380843261
Catch Me If You Can,2002,A,141,Biography,8.1,75,Steven Spielberg,832846,164615351
Amores perros,2000,A,154,Drama,8.1,83,Alejandro G. Iñárritu,223741,5383834
